"","X","lagoslakeid","year","total_obs","count_oligotrophic","count_mesotrophic","count_eutrophic","Trophic_State","value","lake_namelagos","lake_centroidstate","lake_lat_decdeg","lake_lon_decdeg","trend"
"50",50,317607,2000,8,7,1,0,"Mesotrophic",12.5,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"51",51,317607,2000,8,7,1,0,"Eutrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"52",52,317607,2001,9,8,1,0,"Oligotrophic",88.8888888888889,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"53",53,317607,2001,9,8,1,0,"Mesotrophic",11.1111111111111,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"54",54,317607,2001,9,8,1,0,"Eutrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"55",55,317607,2002,8,6,2,0,"Oligotrophic",75,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"56",56,317607,2002,8,6,2,0,"Mesotrophic",25,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"57",57,317607,2002,8,6,2,0,"Eutrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"58",58,317607,2003,8,6,2,0,"Oligotrophic",75,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"59",59,317607,2003,8,6,2,0,"Mesotrophic",25,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"60",60,317607,2003,8,6,2,0,"Eutrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"61",61,317607,2004,8,7,1,0,"Oligotrophic",87.5,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"62",62,317607,2004,8,7,1,0,"Mesotrophic",12.5,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"63",63,317607,2004,8,7,1,0,"Eutrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"64",64,317607,2005,7,5,2,0,"Oligotrophic",71.4285714285714,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"65",65,317607,2005,7,5,2,0,"Mesotrophic",28.5714285714286,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"66",66,317607,2005,7,5,2,0,"Eutrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"67",67,317607,2006,8,7,1,0,"Oligotrophic",87.5,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"68",68,317607,2006,8,7,1,0,"Mesotrophic",12.5,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"69",69,317607,2006,8,7,1,0,"Eutrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"70",70,317607,2007,10,10,0,0,"Oligotrophic",100,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"71",71,317607,2007,10,10,0,0,"Mesotrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"72",72,317607,2007,10,10,0,0,"Eutrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"73",73,317607,2008,10,10,0,0,"Oligotrophic",100,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"74",74,317607,2008,10,10,0,0,"Mesotrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"75",75,317607,2008,10,10,0,0,"Eutrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"76",76,317607,2009,6,6,0,0,"Oligotrophic",100,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"77",77,317607,2009,6,6,0,0,"Mesotrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"78",78,317607,2009,6,6,0,0,"Eutrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"79",79,317607,2010,3,3,0,0,"Oligotrophic",100,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"80",80,317607,2010,3,3,0,0,"Mesotrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"81",81,317607,2010,3,3,0,0,"Eutrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"82",82,317607,2011,6,6,0,0,"Oligotrophic",100,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"83",83,317607,2011,6,6,0,0,"Mesotrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"84",84,317607,2011,6,6,0,0,"Eutrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"85",85,317607,2012,4,4,0,0,"Oligotrophic",100,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"86",86,317607,2012,4,4,0,0,"Mesotrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"87",87,317607,2012,4,4,0,0,"Eutrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"88",88,317607,2013,8,8,0,0,"Oligotrophic",100,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"89",89,317607,2013,8,8,0,0,"Mesotrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"90",90,317607,2013,8,8,0,0,"Eutrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"91",91,317607,2014,5,4,1,0,"Oligotrophic",80,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"92",92,317607,2014,5,4,1,0,"Mesotrophic",20,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"93",93,317607,2014,5,4,1,0,"Eutrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"94",94,317607,2015,6,6,0,0,"Oligotrophic",100,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"95",95,317607,2015,6,6,0,0,"Mesotrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"96",96,317607,2015,6,6,0,0,"Eutrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"97",97,317607,2016,7,7,0,0,"Oligotrophic",100,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"98",98,317607,2016,7,7,0,0,"Mesotrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"99",99,317607,2016,7,7,0,0,"Eutrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"100",100,317607,2017,8,7,1,0,"Oligotrophic",87.5,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"101",101,317607,2017,8,7,1,0,"Mesotrophic",12.5,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"102",102,317607,2017,8,7,1,0,"Eutrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"103",103,317607,2018,10,9,1,0,"Oligotrophic",90,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"104",104,317607,2018,10,9,1,0,"Mesotrophic",10,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"105",105,317607,2018,10,9,1,0,"Eutrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"106",106,317607,2019,6,6,0,0,"Oligotrophic",100,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"107",107,317607,2019,6,6,0,0,"Mesotrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"108",108,317607,2019,6,6,0,0,"Eutrophic",0,"Ice Lake","WY",44.72087,-110.62737,"trending oligotrophic"
"109",109,317715,1984,1,1,0,0,"Oligotrophic",100,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"110",110,317715,1984,1,1,0,0,"Mesotrophic",0,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"111",111,317715,1984,1,1,0,0,"Eutrophic",0,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"112",112,317715,1985,3,3,0,0,"Oligotrophic",100,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"113",113,317715,1985,3,3,0,0,"Mesotrophic",0,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"114",114,317715,1985,3,3,0,0,"Eutrophic",0,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"115",115,317715,1986,4,3,1,0,"Oligotrophic",75,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"116",116,317715,1986,4,3,1,0,"Mesotrophic",25,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"117",117,317715,1986,4,3,1,0,"Eutrophic",0,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"118",118,317715,1987,4,4,0,0,"Oligotrophic",100,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"119",119,317715,1987,4,4,0,0,"Mesotrophic",0,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"120",120,317715,1987,4,4,0,0,"Eutrophic",0,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"121",121,317715,1988,4,3,1,0,"Oligotrophic",75,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"122",122,317715,1988,4,3,1,0,"Mesotrophic",25,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"123",123,317715,1988,4,3,1,0,"Eutrophic",0,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"124",124,317715,1989,2,1,1,0,"Oligotrophic",50,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"125",125,317715,1989,2,1,1,0,"Mesotrophic",50,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"126",126,317715,1989,2,1,1,0,"Eutrophic",0,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"127",127,317715,1990,3,2,1,0,"Oligotrophic",66.6666666666667,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"128",128,317715,1990,3,2,1,0,"Mesotrophic",33.3333333333333,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"129",129,317715,1990,3,2,1,0,"Eutrophic",0,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"130",130,317715,1991,3,2,1,0,"Oligotrophic",66.6666666666667,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"131",131,317715,1991,3,2,1,0,"Mesotrophic",33.3333333333333,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"132",132,317715,1991,3,2,1,0,"Eutrophic",0,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"133",133,317715,1992,4,3,1,0,"Oligotrophic",75,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"134",134,317715,1992,4,3,1,0,"Mesotrophic",25,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"135",135,317715,1992,4,3,1,0,"Eutrophic",0,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"136",136,317715,1993,3,0,0,3,"Oligotrophic",0,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"137",137,317715,1993,3,0,0,3,"Mesotrophic",0,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"138",138,317715,1993,3,0,0,3,"Eutrophic",100,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"139",139,317715,1994,4,1,2,1,"Oligotrophic",25,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"140",140,317715,1994,4,1,2,1,"Mesotrophic",50,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"141",141,317715,1994,4,1,2,1,"Eutrophic",25,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"142",142,317715,1995,5,3,1,1,"Oligotrophic",60,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"143",143,317715,1995,5,3,1,1,"Mesotrophic",20,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"144",144,317715,1995,5,3,1,1,"Eutrophic",20,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"145",145,317715,1996,5,3,1,1,"Oligotrophic",60,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"146",146,317715,1996,5,3,1,1,"Mesotrophic",20,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"147",147,317715,1996,5,3,1,1,"Eutrophic",20,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"148",148,317715,1997,4,3,1,0,"Oligotrophic",75,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"149",149,317715,1997,4,3,1,0,"Mesotrophic",25,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"150",150,317715,1997,4,3,1,0,"Eutrophic",0,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"151",151,317715,1998,2,1,1,0,"Oligotrophic",50,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"152",152,317715,1998,2,1,1,0,"Mesotrophic",50,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"153",153,317715,1998,2,1,1,0,"Eutrophic",0,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"154",154,317715,1999,8,2,5,1,"Oligotrophic",25,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"155",155,317715,1999,8,2,5,1,"Mesotrophic",62.5,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"156",156,317715,1999,8,2,5,1,"Eutrophic",12.5,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"157",157,317715,2000,9,6,3,0,"Oligotrophic",66.6666666666667,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"158",158,317715,2000,9,6,3,0,"Mesotrophic",33.3333333333333,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"159",159,317715,2000,9,6,3,0,"Eutrophic",0,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"160",160,317715,2001,6,2,4,0,"Oligotrophic",33.3333333333333,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"161",161,317715,2001,6,2,4,0,"Mesotrophic",66.6666666666667,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"162",162,317715,2001,6,2,4,0,"Eutrophic",0,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"163",163,317715,2002,8,8,0,0,"Oligotrophic",100,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"164",164,317715,2002,8,8,0,0,"Mesotrophic",0,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"165",165,317715,2002,8,8,0,0,"Eutrophic",0,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"166",166,317715,2003,7,5,2,0,"Oligotrophic",71.4285714285714,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"167",167,317715,2003,7,5,2,0,"Mesotrophic",28.5714285714286,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"168",168,317715,2003,7,5,2,0,"Eutrophic",0,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"169",169,317715,2004,7,5,2,0,"Oligotrophic",71.4285714285714,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"170",170,317715,2004,7,5,2,0,"Mesotrophic",28.5714285714286,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"171",171,317715,2004,7,5,2,0,"Eutrophic",0,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"172",172,317715,2005,7,3,4,0,"Oligotrophic",42.8571428571429,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"173",173,317715,2005,7,3,4,0,"Mesotrophic",57.1428571428571,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"174",174,317715,2005,7,3,4,0,"Eutrophic",0,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"175",175,317715,2006,8,5,3,0,"Oligotrophic",62.5,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"176",176,317715,2006,8,5,3,0,"Mesotrophic",37.5,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"177",177,317715,2006,8,5,3,0,"Eutrophic",0,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"178",178,317715,2007,10,7,3,0,"Oligotrophic",70,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"179",179,317715,2007,10,7,3,0,"Mesotrophic",30,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"180",180,317715,2007,10,7,3,0,"Eutrophic",0,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"181",181,317715,2008,7,6,1,0,"Oligotrophic",85.7142857142857,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"182",182,317715,2008,7,6,1,0,"Mesotrophic",14.2857142857143,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"183",183,317715,2008,7,6,1,0,"Eutrophic",0,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"184",184,317715,2009,6,4,2,0,"Oligotrophic",66.6666666666667,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"185",185,317715,2009,6,4,2,0,"Mesotrophic",33.3333333333333,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"186",186,317715,2009,6,4,2,0,"Eutrophic",0,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"187",187,317715,2010,2,2,0,0,"Oligotrophic",100,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"188",188,317715,2010,2,2,0,0,"Mesotrophic",0,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"189",189,317715,2010,2,2,0,0,"Eutrophic",0,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"190",190,317715,2011,7,4,1,2,"Oligotrophic",57.1428571428571,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"191",191,317715,2011,7,4,1,2,"Mesotrophic",14.2857142857143,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"192",192,317715,2011,7,4,1,2,"Eutrophic",28.5714285714286,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"193",193,317715,2012,4,4,0,0,"Oligotrophic",100,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"194",194,317715,2012,4,4,0,0,"Mesotrophic",0,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"195",195,317715,2012,4,4,0,0,"Eutrophic",0,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"196",196,317715,2013,7,6,1,0,"Oligotrophic",85.7142857142857,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"197",197,317715,2013,7,6,1,0,"Mesotrophic",14.2857142857143,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"198",198,317715,2013,7,6,1,0,"Eutrophic",0,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"199",199,317715,2014,5,2,3,0,"Oligotrophic",40,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"200",200,317715,2014,5,2,3,0,"Mesotrophic",60,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"201",201,317715,2014,5,2,3,0,"Eutrophic",0,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"202",202,317715,2015,7,4,3,0,"Oligotrophic",57.1428571428571,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"203",203,317715,2015,7,4,3,0,"Mesotrophic",42.8571428571429,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"204",204,317715,2015,7,4,3,0,"Eutrophic",0,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"205",205,317715,2016,7,6,1,0,"Oligotrophic",85.7142857142857,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"206",206,317715,2016,7,6,1,0,"Mesotrophic",14.2857142857143,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"207",207,317715,2016,7,6,1,0,"Eutrophic",0,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"208",208,317715,2017,8,6,2,0,"Oligotrophic",75,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"209",209,317715,2017,8,6,2,0,"Mesotrophic",25,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"210",210,317715,2017,8,6,2,0,"Eutrophic",0,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"211",211,317715,2018,8,6,2,0,"Oligotrophic",75,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"212",212,317715,2018,8,6,2,0,"Mesotrophic",25,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"213",213,317715,2018,8,6,2,0,"Eutrophic",0,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"214",214,317715,2019,6,4,2,0,"Oligotrophic",66.6666666666667,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"215",215,317715,2019,6,4,2,0,"Mesotrophic",33.3333333333333,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"216",216,317715,2019,6,4,2,0,"Eutrophic",0,"Grebe Lake","WY",44.75194,-110.55796,"no trend"
"217",217,317809,1985,2,1,1,0,"Oligotrophic",50,"Beach Lake","WY",44.54148,-110.57062,"no trend"
"218",218,317809,1985,2,1,1,0,"Mesotrophic",50,"Beach Lake","WY",44.54148,-110.57062,"no trend"
"219",219,317809,1985,2,1,1,0,"Eutrophic",0,"Beach Lake","WY",44.54148,-110.57062,"no trend"
"220",220,317809,1986,4,3,1,0,"Oligotrophic",75,"Beach Lake","WY",44.54148,-110.57062,"no trend"
"221",221,317809,1986,4,3,1,0,"Mesotrophic",25,"Beach Lake","WY",44.54148,-110.57062,"no trend"
"222",222,317809,1986,4,3,1,0,"Eutrophic",0,"Beach Lake","WY",44.54148,-110.57062,"no trend"
"223",223,317809,1987,5,5,0,0,"Oligotrophic",100,"Beach Lake","WY",44.54148,-110.57062,"no trend"
